"著者","題目","出典","要約","年月","DOI/Handle"
"K. Nakamura, R. Huang, T. Yamazato, M. Kinoshita, K. Kamakura, S. Arai, T. Yendo, T. Fujii","Roadside LED Array Acquisition For Road-to-Vehicle Visible Light Communication Using Spatial-Temporal Gradient Values","IEICE Communications Express, vol.X11-B, no.8, pp. - ","Most of the previous research on the acquisition of the LED Array transmitter assumes that the onboard receiver approaches the LED transmitter from the car’s front. 
In this study, we considered a case where the vehicle’s receiver crosses the LED transmitter.
This letter modifies the algorithm using spatial-temporal gradient values to detect LED arrays.
As a result, we achieved error-free acquisition and successfully communicated up to 9728 [bits] at a vehicle speed of 25 [km/h].","2022年8月","10.1587/comex.2022TCL0008,"
"S. Kamiya, Z. Tang, T. Yamazato,","Visible Light Communication System Using Rolling Shutter Image Sensor for ITS","IEEE ICC Workshop on Optical Wireless Communications (OWC), Seoul, South Korea","In this study, we investigate the application of visible light communication (VLC) to intelligent transport systems (ITS) using rolling shutter image sensors as receivers. The use of a global shutter high-speed image sensor as a receiver has been widely examined in ITS-VLC so far. However, this image sensor is impractical for general-purpose applications due to the high cost. This study aims to perform ITS-VLC using the rolling shutter image sensor. The rolling shutter image sensor is widely used in the smartphone camera. By using it as a receiver, ITS-VLC can be used in more opportunities. In this study, we propose a ITSVLC system using rolling shutter image sensor. The proposed system demodulates data from images captured in a moving environment. We evaluate the communication performance by measuring the bit error rate for the ITS-VLC experiments.","2022年5月",","
"Z. Tang,T. Yamazato, S. Arai","A Preliminary Investigation For Event Camera-Based Visible Light Communication Using The Propeller-type Rotary LED Transmitter","	IEEE ICC Workshop on Optical Wireless Communications (OWC), Seoul, South Korea","This study investigates a new communication scheme for the event camera-based visible light communication (VLC) using a propeller-type rotary LED transmitter. Conventional camera-based VLC suffers from low data rates and high latency due to the limited camera frame rates. To solve this problem, the event camera has been used as the receiver in VLC. Event cameras detect changes in brightness and asynchronously output these changes as events in microsecond order. The high temporal resolution gives the event camera-based VLC good potential in terms of high speed and low latency. However, when an event camera is used as the VLC receiver, the light of the transmitter needs to be changed constantly. If the transmitter LED is continuously in the same blinking state, the event camera may not output any events and the data could not be recovered until the blinking state changes. To transmit the optical signal for event cameras, we use a propeller-type rotary LED transmitter for the event camera-based VLC. The transmitter rotates the blinking LED in circles and uses the afterimage of LED light to transmit signals. The event camera detects the afterimages and constantly outputs them as a stream of events. We filter the noise events and recover data using signal events. This study verifies the operation for the proposed system through an implementation experiment. As a result, we achieved the communication in the proposed system and provided a basic evaluation in terms of communication speed and quality.","2022年5月",","
"堀内星哉，羽多野裕之，眞田耕輔，森香津夫，山里敬也，荒井伸太郎，齋藤将人，田所幸浩，田中宏哉","干渉信号を用いたDither法を適用したRSSIに基づく位置推定技術の性能評価","電子情報通信学会 総合大会, A-13-8, p.104, オンライン","","2022年3月",","
"鄭錦星，山里敬也","雑音を活用した1-bit ADCを用いた4-PAM信号に対する受信機に関する実験的検討","電子情報通信学会 総合大会, B-8-24, p.148, オンライン","","2022年3月",","
"辻井明日香，笠島崇，羽多野裕之，山里敬也","超音波センサアレイを用いる低速走行時障害物検出システムの設計","電子情報通信学会 総合大会, B-15-16, p.454, オンライン","","2022年3月",","
"小鹿文也，山里敬也，齋藤将人，木村翔，田中翔馬，林合祐，佐藤彰弘，表英毅","3.35GHz帯移動環境における遅延プロファイルの多段推定手法による雑音電力の低減","電子情報通信学会 総合大会, B-1-44, p.44, オンライン","本研究の目的は，確率共鳴を用いて基地局の通信範囲を拡大することである．本研究では，確率共鳴による微弱信号検出に着目して，遅延プロファイルの多段推定手法を提案し，雑音に埋もれた遅延プロファイルを浮かび上がらせることを試みる．","2022年3月",","
"小鹿文也","3.35GHz帯マルチパス環境における位相推定及び位相補正を用いた遅延プロファイルの多段推定","電子情報通信学会東海支部卒業研究発表会, 5-4, p.67, オンライン","","2022年3月",","
"小鹿文也","3.35GHz帯マルチパス環境における位相推定及び位相補正を用いた遅延プロファイルの多段推定","卒業論文","","2022年3月",","
"鄭錦星","雑音を活用した1-bit ADCを用いた多値パルス振幅変調信号に対する受信機の実験的検討","卒業論文","","2022年3月",","
"Z. Tang, S. Arai, T. Yamazato","Simplified Alamouti-Type Space-Time Coding for Image Sensor Communication Using Rotary LED Transmitter","IEEE Photonics Journal, vol. 14, no. 1, pp. 1-7","This study proposes a simplified Alamouti-type space-time coding (STC), improving the performance of image sensor communication (ISC) using a rotary LED transmitter. The rotary LED transmitter was developed to increase the data rate of ISC using afterimages of LED lights. The transmitter simultaneously causes the LEDs to blink and rotates them around a vertical axis. Owing to the movement of the blinking LEDs that occurs within the exposure time of the camera, multiple blinking states are captured as afterimages, thus increasing the amount of information that can be received per image. However, with increasing communication distance, the size of the LED light captured on the image sensor decreases. In this case, it is difficult to distinguish each LED blinking state, leading to a degradation of the demodulation performance. To overcome this problem, the proposed STC encodes adjacent angular afterimages as symbol pairs and transmits these symbol pairs using two symbol times. In addition, we simplified the data decoding process by using normalized LED luminance values. We evaluate the demodulation performance of the proposed method through experiments. Compared with conventional coding methods, the proposed STC requires no channel estimation and significantly improves the demodulation performance.","2022年2月","10.1109/JPHOT.2021.3137601,"
"M. Kinoshita, T. Toguma, S. Yamaguchi, S. Ibaraki, K. Kamakura, T. Yamazato","Performance Enhancement of Rolling Shutter Based Visible Light Communication via Selective Reception Using Dual Cameras","IEEE Consumer Communications and Networking Conference (CCNC), pp.843-847, online","","2022年1月","10.1109/CCNC49033.2022.9700504,"
"K. Nakamura, T. Yamazato, M. Kinoshita, K. Kamakura, S. Arai, T. Yendo, T. Fujii","LED array acquisition in Road to Vehicle Visible Light Communication when receiver crosses transmitter","International Conference on Emerging Technologies for Communications (ICETC), online","Intelligent Transport Systems Visible Light Communication (ITS-VLC) is attracting significant attention as a solution to solve
various problems that vehicles have, or for the installation of new systems
in the vehicles. In ITS-VLC, the acquisition of the VLC transmitter via
light-emitting diodes (LEDs) in the onboard camera’s captured image is the
first and essential step when receiving the VLC signal. Most of the previous
research on the acquisition of the LEDs assumes that the vehicles approach
the LEDs source from the front of the vehicle. However, there are many
situations in which vehicles cross the LEDs. In this study, we considered
a case in which the vehicle’s receiver crosses the LED transmitter. We
modified the acquisition algorithm based on the spatial-temporal gradient
utilized in our model in which the transmitter and the receiver cross each
other. We found that we can acquire the transmitter by correcting the difference of the transmitter’s position in the captured image. When validating
the specific signal, we achieved 100% acquisition success rate.","2021年12月","10.34385/proc.68.B3-5,"
"T. Yamazato","WWRF46 Panel Session","Wireless World Research Forum Meeting 46, Paris, France","Optical wireless communication has been around since the 1980s. Why has its time come now in 5G/6G? What is the change?","2021年12月",","
"T. Ohtaguro, M. Saito, T. Yamazato","Experimental Verification of 4-ary Pulse Amplitude Modulated Signal Receiver with Noise-added One-bit Analogue-to-digital Converter","International Conference on Materials and Systems for Sustainability (ICMaSS), online","","2021年11月",","
"山本拓也，山里敬也，岡田啓，木下雅之，鎌倉浩嗣，荒井伸太郎，圓道知博，藤井俊彰","LED信号機対高速イメージセンサ間可視光通信における逆畳み込みを用いたLED間干渉除去手法","電子情報通信学会論文誌, vol.J104-B, no.11, pp.938-948","","2021年11月","10.14923/transcomj.2021JBP3004,"
"大田黒拓斗，齋藤将人，山里敬也","［ポスター講演］雑音と1bit ADCを用いた4PAM信号受信実験","革新的無線通信技術に関する横断型研究会(MIKA), 那覇/オンライン","","2021年10月",","
"山里敬也，荒井伸太郎，木下雅之","光無線通信はpost 5G, 6Gの候補になりえるか？","電子情報通信学会 通信ソサイエティ大会, BI-5-5, pp.SS-69 - SS-70, オンライン","","2021年9月",","
"T. Yamamoto, T. Yamazato, H, Okada, M. Kinoshita, K. Kamakura, S. Arai, T. Yendo, T. Fujii","Comparison of Distance Performances of Modulation Schemes in Intelligent Transport System Image Sensor Communication","IEICE Communications Express,  vol.10, no.8, pp.498-504 ","This study describes intelligent transport image sensor communication (ITS-ISC) systems that use LED arrays as transmitters that imitate traffic lights.
Three signal-transmission schemes -luminance modulation, spatial modulation, and combined luminance and spatial modulation- use LED array.
However, their suitability for ITS-ISC has not been explored yet.
Therefore, we compare the communication performance of these three systems under strong saturation and present the results.","2021年8月","10.1587/comex.2021ETL0032,"
"大平祐生，圓道知博，山里敬也，荒井伸太郎","［ポスター講演］イベントカメラを用いたLED可視光通信における信号復調手法の一検討","電子情報通信学会技術研究報告, WBS2021-25, pp.19-23, オンライン","","2021年7月",","
"松永宏章，圓道知博，荒井伸太郎，山里敬也","［ポスター講演］符号化露光を用いたイメージセンサ可視光通信の多重化","電子情報通信学会技術研究報告, WBS2021-29, pp.39-44, オンライン","","2021年7月",","
"黄瑞怡, 山里敬也, 岡田啓, 木下雅之, 荒井伸太郎, 鎌倉浩嗣, 圓道知博, 藤井俊彰","高速二眼カメラを用いた可視光通信による車両前方測距","電子情報通信学会技術研究報告, CS2021-22, pp.33-37, 屋久島","","2021年7月",","
"佐藤拓実，鎌倉浩嗣，木下雅之，山里敬也","光源組み合わせ変調を用いた空間並列伝送イメージセンサ型可視光通信","電子情報通信学会技術研究報告, CS2021-15, pp.9-14, オンライン","","2021年7月",","
"高橋琴美，鎌倉浩嗣，木下雅之，山里敬也","液晶ディスプレイ-カメラ間を用いた空間並列伝送可視光通信における輝度反転伝送","電子情報通信学会技術研究報告, CS2021-20, pp.25-30, オンライン","","2021年7月",","
"R. Huang, T. Yamazato, M. Kinoshita, H. Okada, K. Kamakura, S. Arai, T. Yendo, T. Fujii","Vehicle Distance Measurement based on Visible Light Communication Using Stereo Cameras","IEEE Intelligent Vehicles Symposium, Nagoya, Japan","Visible light communication based intelligent transportation systems (ITS-VLC) show great potential for future urban mobility. This study presents a performance evaluation of range estimation between vehicles and infrastructures in an ITS-VLC system. In the proposed  ITS-VLC system,  it is easy to simultaneously conduct communication  and ranging using stereo cameras. However, the stereo camera calibration becomes a problem during simultaneous communication  and ranging due to vehicle vibration. Using the data from  LED transmitters and stereo cameras, it can obtain multiple measurements of distance. The monocular-stereo fusion algorithm is applied to visible light ranging in the proposed scheme using particle  swarm  optimization. We employed real data from the field trial experiment and achieved a ranging accuracy of 60±1.0 m.","2021年7月","10.1109/IV48863.2021.9575534,"
"堀内星哉，羽多野裕之，眞田耕輔，森香津夫，山里敬也，荒井伸太郎，齋藤将人，田所幸浩，田中宏哉","干渉信号を用いたDither法による距離推定技術の誤差低減手法の提案","電子情報通信学会技術研究報告, ITS2021-1, pp.1-6, オンライン","","2021年7月",","
"M. Hattori, A. Tsujii, T. Kasashima, H. Hatano, T.Yamazato","Method for considering angle error in the position estimation of a moving target using ultrasonic array","IEICE Communications Express, vol.10, no.7, pp.374-379 ","In this study, we propose a method for reducing angle error in position estimation of a moving target. The distance between the transmitting array and target is approximated by two receiving sensors close to the transmitting array. This enables more accurate distance measurement between the receiving sensor and the target.","2021年7月","10.1587/comex.2021XBL0088,"
"神谷峻輝，山里敬也，岡田啓， 藤井俊彰，木下雅之，鎌倉浩嗣，荒井伸太郎，圓道知博","ローリングシャッタ方式イメージセンサを用いた ITS 可視光通信における復調方法の初期検討","電子情報通信学会技術研究報告，RCS2021-52, pp.139-144, オンライン","本稿ではイメージセンサを受信機に用いる可視光通信の高度道路交通システム（ITS）への応用（ITS 可視光通信）について検討する．これまでITS 可視光通信では受信機にグローバルシャッタ方式イメージセンサを使用することが広く検討されてきた．しかしこのイメージセンサは高価などの理由から現在一般的に普及していない．そこで本稿ではローリングシャッタ方式イメージセンサを用いたITS 可視光通信の初期検討を行う．ローリングシャッタ方式はスマートフォンにも搭載されているものであり，これを受信機として使うことでより多くの機会でITS 可視光通信が使用可能となる．今回は短距離静止環境下において送信機にLED アレイ，受信機にローリングシャッタ方式イメージセンサを用いた通信システムを構築し，撮影実験を行って露光時間などの撮影条件が通信品質に与える影響を確認した．","2021年6月",","
"大田黒拓斗，齋藤将人，山里敬也","雑音を用いた1bit ADCによる4値PAM信号の復調法に関する実験的検討","電子情報通信学会技術研究報告, RCS2021-51, pp.133-138, オンライン","","2021年6月",","
"S. Arai, W. Tamura, T. Yamazato, H. Hatano, M. Saito, H. Tanaka, and Y. Tadokoro","Circuit Experiment of Photodiode-Type Visible Light Communication Using the Stochastic Resonance Generated by Interfering Light Noise","IEEE International Symposium on Circuits and Systems (ISCAS), pp. 1-5, Daegu, Korea (On-site & Virtual)","This study focuses on visible light communication (VLC) using a photodiode as a receiver. Accurate data transmission by this type of VLC is a challenge because the photodiode cannot detect weak light of subthreshold intensity owing to its insufficient light sensitivity. To overcome this problem, we employ a stochastic resonance, which is a nonlinear phenomenon in which the response characteristics of a system improve as its noise intensity increases, for the receiver of this VLC system. We also employ additive light-emitting diode light, which interferes in the photodiode as intentional noise. As an experimental result, the stochastic resonance was achieved by setting the parameters of the noise source appropriately, and we recovered the weak transmitting signal at the receiver.","2021年5月","10.1109/ISCAS51556.2021.9401452,"
"中村哲也, ベンナイラシャドリア, 小林健太郎, 岡田啓, 片山正昭","長距離高速８×８光無線MIMO通信システムの実験的評価","電子情報通信学会 総合大会, A-9-3, p.88, オンライン","本研究では，屋内環境で長距離光無線MIMO通信システムを構築することを考える．光無線MIMO通信システムでは伝搬路行列の形は光学系の素子配置に強く依存している．著者らは，光素子を横一列に配置する線形アレイ配置の方が正方形アレイ配置より優れていることを理論と実験によって示している．そこで本研究では，通信速度の向上を目的に，線形アレイ配置の８×８光無線MIMOについて通信実験を実施し，BERの測定から通信距離特性を評価した．結果として，通信速度200Mbpsにおいて60mで2.8×10^-3以下，65mで1.0×10^-2以下のBERを達成した．","2021年3月",","
"中島康雄，山里敬也，荒井伸太郎，齋藤将人，羽多野裕之，田中宏哉，田所幸浩","雑音と1bit ADCを用いたマルチアンテナ受信機におけるチャネル推定と信号復調","電子情報通信学会 総合大会, B-8-27, p.148, オンライン","非線形性が雑音によって改善される現象により，分解能が1bitのアナログ-ディジタル変換器(1bit ADC)を用いる場合においても振幅が変動する信号を再生可能になる．1bit ADCは，広帯域なマルチアンテナ受信機など高分解能ADCの利用が難しい状況における代替手段として検討されている．先行研究では雑音が加わった1bit ADCの出力を確定信号と出力雑音に分離する解析手法を提案し，出力雑音の分散が入力信号振幅に依存する特徴が明らかになった．この特徴のため，1bit ADCを用いたマルチアンテナ受信機における最適な信号復調は出力の平均・分散の両方を考慮する必要があるが，一方でチャネル推定の精度によっては十分な性能を発揮できないと考えられる．そこで本稿ではチャネル推定手法の提案と，信号復調手法に与える影響の評価を行う．","2021年3月",","
"唐正強，荒井伸太郎，山里敬也","回転式LED送信機を用いたイメージセンサ通信におけるAlamouti型時空間符号化のためのデータ受信可能範囲の判定法","電子情報通信学会 総合大会, A-9-4, p.89, オンライン","","2021年3月",","
"服部将道","超音波アレイを用いた移動体の位置推定精度向上手法","電子情報通信学会東海支部卒業研究発表会, 2-2, オンライン","","2021年3月",","
"神谷峻輝","ローリングシャッタ方式イメージセンサを用いたITS可視光通信における復調方法の検討","電子情報通信学会東海支部卒業研究発表会, 2-7, オンライン","","2021年3月",","
"唐正強，荒井伸太郎，山里敬也","［ポスター講演］回転式LED送信機を用いたイメージセンサ通信におけるAlamouti型時空間符号化の実験評価","電子情報通信学会技術研究報告, WBS2020-44, pp.86-91, オンライン","","2021年3月",","
"茨木大空，戸熊拓海，山口駿，木下雅之，鎌倉浩嗣，山里敬也","［ポスター講演］デュアルカメラを用いた選択受信によるローリングシャッタ型可視光通信性能の改善","電子情報通信学会技術研究報告, WBS2020-48, pp.110-114, オンライン","","2021年3月",","
"神谷峻輝","ローリングシャッタ方式イメージセンサを用いたITS可視光通信における整合フィルタの設計","卒業論文","","2021年3月",","
"山本拓也","LED信号機対イメージセンサ間通信における逆畳み込みを用いたLED間干渉除去手法","修士論文","LED信号機対イメージセンサ間通信では、送信光源であるLEDを画像として受信するため、多数のLEDを空間的配置することで送信情報を増やすことができる。また、各LEDの輝度にも情報を持たせることが出来るが、LED同士の距離が近い場合、光拡散による干渉が発生し特性が劣化する。
本研究では、画像処理技術の点広がり関数を基に光の拡散を数式化し、それに対応した逆フィルタを使用する逆畳み込みによる干渉除去手法を提案する。提案手法によって従来より1.5倍の送信レートでの通信を達成した。
","2021年3月",","
"服部将道","超音波アレイを用いた移動体の位置推定精度向上手法","卒業論文","","2021年3月",","
"五藤大介，山下史洋，山里敬也，桶間椋，柴山大樹，糸川喜代彦","［招待講演］複数低軌道衛星を用いたLEO-MIMO伝送方式の検討","電子情報通信学会技術研究報告, SAT2020-36, p.41, オンライン","","2021年2月",","
"S. Arai, M. Kinoshita, T. Yamazato","Optical Wireless Communication: A Candidate 6G Technology?","IEICE Transactions on Fundamentals, vol.E104-A , no.1, pp.227-234","We discuss herein whether an optical wireless communication (OWC) system can be a candidate for post 5G or 6G cellular communication. Almost once per decade, cellular mobile communication is transformed by a significant evolution, with each generation developing a distinctive concept or technology. Interestingly, similar trends have occurred in OWC systems based on visible light and light fidelity (Li-Fi). Unfortunately, OWC is currently relegated to a limited role in any 5G scenario, but the debate whether this is unavoidable has yet to be settled. Whether OWC is adopted post 5G or 6G is not the vital issue; rather, the aim should be that OWC coexists with 5G and 6G communication technologies. In working toward this goal, research and development in OWC will continue to extend its benefits and standardize its systems so that it can be widely deployed in the market. For example, given that a standard already exists for a visible-light beacon identifier and Li-Fi, a service using this standard should be developed to satisfy user demand. Toward this end, we propose herein a method for visible-light beacon identification that involves using a rolling shutter to receive visible-light communications with a smartphone camera. In addition, we introduce a rotary LED transmitter for image-sensor communication.","2021年1月","10.1587/transfun.2020WBI0001,"
"R. Okema, D. Goto, T. Yamazato, F. Yamashita, H. Shibayama","Deep Learning Detection for superimposed control signal in LEO-MIMO","IEEE Global Communications Conference (GLOBECOM), Taipei, Taiwan","Multiple-input multiple-output (MIMO) communication systems using multiple low-Earth orbital (LEO) satellites achieve higher capacity than conventional LEO systems. However, in previous research, control signals are allocated to a different frequency band for each satellite signal in order to estimate its Doppler frequency. The increase in the number of satellites reduces unoccupied MIMO signal bandwidth and hence the overall capacity. This study aimed to prevent such capacity reduction by introducing the superimposition of control signals. Such control signals occupy a frequency bandwidth of the equivalent of only one control signal; therefore, they can prevent the reduction of the overall capacity. The main challenge is estimating the satellites' Doppler frequencies from the waveforms of Doppler-affected superimposed control signals. To overcome this challenge, we propose the adoption of a deep learning technique.","2020年12月","10.1109/GLOBECOM42002.2020.9348012,"
"R. Huang, M. Kinoshita, T. Yamazato, H. Okada, K. Kamakura, S. Arai, T. Yendo, T. Fujii","Performance Evaluation of Range Estimation for Image Sensor Communication Using Phase-only Correlation","IEEE GLOBECOM Workshop on Optical Wireless Communications (OWC), Taipei, Taiwan","Stereo cameras, serving as the “eyes” of automotive vehicles, can determine the distance between objects and the vehicles. In this paper, stereo cameras are introduced into image-sensor-based visible light communication (IS-VLC) systems, in which the combination of VLC and stereo ranging shows promising prospects for intelligent transport systems. However, one of the problems of IS-VLC stereo ranging is that the luminance level of LEDs in the captured images would greatly affect disparity estimation, which would result in inaccurate range estimation. This paper gives the performance evaluation of this problem using phase-only correlation algorithm with luminance election.
The proposed scheme using stereo cameras exhibited a ranging accuracy of 60±0.15 m in static conditions.","2020年12月","10.1109/GCWkshps50303.2020.9367540,"
"T. Yamamoto, T. Yamazato, H, Okada, M. Kinoshita, K. Kamakura, S. Arai, T. Yendo, T. Fujii","A Comparison of Distance Performances of Modulation Schemes in an ITS Image Sensor Communication","International Conference on Emerging Technologies for Communications (ICETC), B4-1, online","Image sensor communication uses an LED light as a transmitter and an image sensor as a receiver. LED light sources are widely used in traffic lights and car tail lights. In addition, since image sensors are used for driving assistance and drive recorder applications, image sensor communication can be used in parallel with other intelligent transport systems(ITS) applications.  This study describes an ITS image sensor communication (ITS-ISC) system, which uses an LED array as a transmitter to imitate traffic lights. There are three schemes of signal transmission using an LED array: luminance modulation, spatial modulation, and both luminance and spatial modulation. However, which of these schemes is the most suitable for ITS-ISC is not yet considered. In this study, we compare the communication performance of these three modulation schemes, present-ing the configuration of an LED array capture simulator and performance comparison results.","2020年12月","10.34385/proc.63.B4-1,"
