"K. Nakamura, R. Huang, T. Yamazato, M. Kinoshita, K. Kamakura, S. Arai, T. Yendo, T. Fujii","Roadside LED Array Acquisition For Road-to-Vehicle Visible Light Communication Using Spatial-Temporal Gradient Values","IEICE Communications Express, vol.X11-B, no.8, pp. - ","Most of the previous research on the acquisition of the LED Array transmitter assumes that the onboard receiver approaches the LED transmitter from the car’s front. In this study, we considered a case where the vehicle’s receiver crosses the LED transmitter. This letter modifies the algorithm using spatial-temporal gradient values to detect LED arrays. As a result, we achieved error-free acquisition and successfully communicated up to 9728 [bits] at a vehicle speed of 25 [km/h].","Aug. 2022","https://doi.org/10.1587/comex.2022TCL0008"
"S. Kamiya, Z. Tang, T. Yamazato,","Visible Light Communication System Using Rolling Shutter Image Sensor for ITS","IEEE ICC Workshop on Optical Wireless Communications (OWC), Seoul, South Korea","In this study, we investigate the application of visible light communication (VLC) to intelligent transport systems (ITS) using rolling shutter image sensors as receivers. The use of a global shutter high-speed image sensor as a receiver has been widely examined in ITS-VLC so far. However, this image sensor is impractical for general-purpose applications due to the high cost. This study aims to perform ITS-VLC using the rolling shutter image sensor. The rolling shutter image sensor is widely used in the smartphone camera. By using it as a receiver, ITS-VLC can be used in more opportunities. In this study, we propose a ITSVLC system using rolling shutter image sensor. The proposed system demodulates data from images captured in a moving environment. We evaluate the communication performance by measuring the bit error rate for the ITS-VLC experiments.","May 2022",
"Z. Tang,T. Yamazato, S. Arai","A Preliminary Investigation For Event Camera-Based Visible Light Communication Using The Propeller-type Rotary LED Transmitter","	IEEE ICC Workshop on Optical Wireless Communications (OWC), Seoul, South Korea","This study investigates a new communication scheme for the event camera-based visible light communication (VLC) using a propeller-type rotary LED transmitter. Conventional camera-based VLC suffers from low data rates and high latency due to the limited camera frame rates. To solve this problem, the event camera has been used as the receiver in VLC. Event cameras detect changes in brightness and asynchronously output these changes as events in microsecond order. The high temporal resolution gives the event camera-based VLC good potential in terms of high speed and low latency. However, when an event camera is used as the VLC receiver, the light of the transmitter needs to be changed constantly. If the transmitter LED is continuously in the same blinking state, the event camera may not output any events and the data could not be recovered until the blinking state changes. To transmit the optical signal for event cameras, we use a propeller-type rotary LED transmitter for the event camera-based VLC. The transmitter rotates the blinking LED in circles and uses the afterimage of LED light to transmit signals. The event camera detects the afterimages and constantly outputs them as a stream of events. We filter the noise events and recover data using signal events. This study verifies the operation for the proposed system through an implementation experiment. As a result, we achieved the communication in the proposed system and provided a basic evaluation in terms of communication speed and quality.","May 2022",
"S. Horiuchi, H. hatano, K. Sanada, K. Mori, T. Yamazato, S. Arai, M. Saito, K. Tadokoro, H. Tanaka","Performance Evaluation of RSSI-Based Positioning with Dither method by using Interference Signals","IEICE General Conference, A-13-8, p.104, online","","Mar. 2022",
"J. Zheng, T. Yamazato","An Experimental Study on A Noise-aided 1-bit ADC Receiver for 4-PAM","IEICE General Conference, B-8-24, p.148, online","","Mar. 2022",
"A. Tsujii, T. Kasashima, H. Hatano, T. Yamazato","Design of the ultrasonic sensor array system for slow vehicle","IEICE General Conference, B-15-16, p.454, online","","Mar. 2022",
"F.Ojika, T.Yamazato, M.Saito, S.Kimura, S.Tanaka, H.Lin, A.Sato, H.Omote","Reduction of Noise Power by Multi-stage Estimation of Delay Profile in 3.35 GHz Mobile Environment","IEICE General Conference, B-1-44, p.44, Online","","Mar. 2022",
"F. Ojika","","","","Mar. 2022",
"Z. Tang, S. Arai, T. Yamazato","Simplified Alamouti-Type Space-Time Coding for Image Sensor Communication Using Rotary LED Transmitter","IEEE Photonics Journal, vol. 14, no. 1, pp. 1-7","This study proposes a simplified Alamouti-type space-time coding (STC), improving the performance of image sensor communication (ISC) using a rotary LED transmitter. The rotary LED transmitter was developed to increase the data rate of ISC using afterimages of LED lights. The transmitter simultaneously causes the LEDs to blink and rotates them around a vertical axis. Owing to the movement of the blinking LEDs that occurs within the exposure time of the camera, multiple blinking states are captured as afterimages, thus increasing the amount of information that can be received per image. However, with increasing communication distance, the size of the LED light captured on the image sensor decreases. In this case, it is difficult to distinguish each LED blinking state, leading to a degradation of the demodulation performance. To overcome this problem, the proposed STC encodes adjacent angular afterimages as symbol pairs and transmits these symbol pairs using two symbol times. In addition, we simplified the data decoding process by using normalized LED luminance values. We evaluate the demodulation performance of the proposed method through experiments. Compared with conventional coding methods, the proposed STC requires no channel estimation and significantly improves the demodulation performance.","Feb. 2022","https://doi.org/10.1109/JPHOT.2021.3137601"
"M. Kinoshita, T. Toguma, S. Yamaguchi, S. Ibaraki, K. Kamakura, T. Yamazato","Performance Enhancement of Rolling Shutter Based Visible Light Communication via Selective Reception Using Dual Cameras","IEEE Consumer Communications and Networking Conference (CCNC), pp.843-847, online","","Jan. 2022","https://doi.org/10.1109/CCNC49033.2022.9700504"
